#/**
#* Copyright IBM Corporation 2016
#*
#* Licensed under the Apache License, Version 2.0 (the "License");
#* you may not use this file except in compliance with the License.
#* You may obtain a copy of the License at
#*
#* http://www.apache.org/licenses/LICENSE-2.0
#*
#* Unless required by applicable law or agreed to in writing, software
#* distributed under the License is distributed on an "AS IS" BASIS,
#* WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
#* See the License for the specific language governing permissions and
#* limitations under the License.
#**/

# Arguments of the BETWEEN and IN operators.
# Used in testColumnExtensions.sh. The resulting test file is TestColumnExtensions.swift.

where t.a table.a true false true false
having t.a table.a true false true false
where t.a table.a "apple" "peach" 'apple' 'peach'
having t.a table.a "apple" "peach" 'apple' 'peach'
where t.a table.a 3 6 3 6
having t.a table.a 3 6 3 6
where t.a table.a 2.71828 3.14159 2.71828 3.14159
having t.a table.a 2.71828 3.14159 2.71828 3.14159
where t.a table.a Parameter() Parameter() \?1 \?2
having t.a table.a Parameter() Parameter() \?1 \?2
where ucase(t.a) UCASE(table.a) true false true false
having last(t.a) LAST(table.a) true false true false
where ucase(t.a) UCASE(table.a) "apple" "peach" 'apple' 'peach'
having last(t.a) LAST(table.a) "apple" "peach" 'apple' 'peach'
where ucase(t.a) UCASE(table.a) 3 6 3 6
having last(t.a) LAST(table.a) 3 6 3 6
where ucase(t.a) UCASE(table.a) 2.71828 3.14159 2.71828 3.14159
having last(t.a) LAST(table.a) 2.71828 3.14159 2.71828 3.14159
where ucase(t.a) UCASE(table.a) Parameter() Parameter() \?1 \?2
having last(t.a) LAST(table.a) Parameter() Parameter() \?1 \?2
